Calpeptin_400uM_in_WT_24uM_28C_X,Calpeptin_400uM_in_WT_24uM_28C_Y
19.833333,9.71818
19.85,9.7183
19.866667,9.71822
19.883333,9.71788
19.9,9.71731
19.916667,9.7167
19.933333,9.71637
19.95,9.7162
19.966667,9.71623
19.983333,9.71623
20,9.71629
20.016667,9.71631
20.033333,9.71621
20.05,9.71602
20.066667,9.71567
20.083333,9.71558
20.1,9.71513
20.116667,9.71457
20.133333,9.71416
20.15,9.71385
20.166667,9.71376
20.183333,9.71377
20.2,9.71401
20.216667,9.71428
20.233333,9.71467
20.25,9.71494
20.266667,9.7147
20.283333,9.71418
20.3,9.71364
20.316667,9.7132
20.333333,9.7128
20.35,9.71268
20.366667,9.71267
20.383333,9.71289
20.4,9.71296
20.416667,9.71302
20.433333,9.71327
20.45,9.7134
20.466667,9.71332
20.483333,9.71331
20.5,9.71336
20.516667,9.71322
20.533333,9.71292
20.55,9.7125
20.566667,9.71207
20.583333,9.7121
20.6,9.71265
20.616667,9.71342
20.633333,9.71408
20.65,9.71441
20.666667,9.7145
20.683333,9.71455
20.7,9.71444
20.716667,9.71455
20.733333,9.71539
20.75,9.71601
20.766667,9.71555
20.783333,9.716
20.8,9.71677
20.816667,9.71719
20.833333,9.71752
20.85,9.71792
20.866667,9.71846
20.883333,9.7195
20.9,9.71897
20.916667,9.71805
20.933333,9.71822
20.95,9.71924
20.966667,9.72068
20.983333,9.7201
21,9.71949
21.016667,9.71942
21.033333,9.72003
21.05,9.71365
21.066667,9.70464
21.083333,9.69912
21.1,9.69608
21.116667,9.69156
21.133333,9.68651
21.15,9.68212
21.166667,9.67723
21.183333,9.67523
21.2,9.67278
21.216667,9.66851
21.233333,9.66471
21.25,9.66398
21.266667,9.67086
21.283333,9.68534
21.3,9.69527
21.316667,9.70231
21.333333,9.70554
21.35,9.70644
21.366667,9.70675
21.383333,9.70769
21.4,9.70872
21.416667,9.70928
21.433333,9.70974
21.45,9.71065
21.466667,9.71174
21.483333,9.71255
21.5,9.71277
21.516667,9.7127
21.533333,9.7126
21.55,9.71259
21.566667,9.71257
21.583333,9.71262
21.6,9.71274
21.616667,9.71288
21.633333,9.71327
21.65,9.71351
21.666667,9.71355
21.683333,9.71339
21.7,9.71321
21.716667,9.71315
21.733333,9.71291
21.75,9.71258
21.766667,9.71252
21.783333,9.71272
21.8,9.71307
21.816667,9.71335
21.833333,9.71385
21.85,9.71408
21.866667,9.71429
21.883333,9.71425
21.9,9.71435
21.916667,9.71436
21.933333,9.71474
21.95,9.71458
21.966667,9.71454
21.983333,9.71453
22,9.71443
22.016667,9.71451
22.033333,9.71482
22.05,9.7154
22.066667,9.71617
22.083333,9.71683
22.1,9.71716
22.116667,9.71715
22.133333,9.71708
22.15,9.71682
22.166667,9.71664
22.183333,9.71664
22.2,9.71682
22.216667,9.71713
22.233333,9.71738
22.25,9.71752
22.266667,9.71731
22.283333,9.71748
22.3,9.71783
22.316667,9.71808
22.333333,9.71815
22.35,9.71805
22.366667,9.71788
22.383333,9.71728
22.4,9.71664
22.416667,9.71617
22.433333,9.71589
22.45,9.71582
22.466667,9.71549
22.483333,9.7151
22.5,9.71499
22.516667,9.71498
22.533333,9.71488
22.55,9.71471
22.566667,9.71471
22.583333,9.71473
22.6,9.7147
22.616667,9.71439
22.633333,9.71392
22.65,9.71329
22.666667,9.71298
22.683333,9.71276
22.7,9.71253
22.716667,9.71255
22.733333,9.71258
22.75,9.71275
22.766667,9.71305
22.783333,9.71315
22.8,9.71305
22.816667,9.71313
22.833333,9.71299
22.85,9.71267
22.866667,9.71241
22.883333,9.71232
22.9,9.71206
22.916667,9.71193
22.933333,9.71248
22.95,9.71354
22.966667,9.71469
22.983333,9.71595
23,9.7171
23.016667,9.718
23.033333,9.71888
23.05,9.71939
23.066667,9.72009
23.083333,9.72166
23.1,9.72214
23.116667,9.72081
23.133333,9.72011
23.15,9.72044
23.166667,9.72148
23.183333,9.7226
23.2,9.722
23.216667,9.72118
23.233333,9.72088
23.25,9.72107
23.266667,9.72109
23.283333,9.72068
23.3,9.71979
23.316667,9.71891
23.333333,9.71823
23.35,9.71801
23.366667,9.71822
23.383333,9.71887
23.4,9.71921
23.416667,9.71923
23.433333,9.71991
23.45,9.72062
23.466667,9.72085
23.483333,9.71994
23.5,9.72036
23.516667,9.72263
23.533333,9.72472
23.55,9.72112
23.566667,9.71389
23.583333,9.70035
23.6,9.68565
23.616667,9.67976
23.633333,9.676
23.65,9.67501
23.666667,9.67516
23.683333,9.67697
23.7,9.67908
23.716667,9.6803
23.733333,9.68166
23.75,9.68187
23.766667,9.68357
23.783333,9.68627
23.8,9.6892
23.816667,9.6915
23.833333,9.69415
23.85,9.69693
