Calpeptin_400uM_in_Q256A_24uM_28C_2_X,Calpeptin_400uM_in_Q256A_24uM_28C_2_Y
20.883333,9.77962
20.9,9.78005
20.916667,9.78097
20.933333,9.78192
20.95,9.78271
20.966667,9.78342
20.983333,9.78567
21,9.78931
21.016667,9.79298
21.033333,9.79161
21.05,9.78762
21.066667,9.77922
21.083333,9.7722
21.1,9.77035
21.116667,9.76659
21.133333,9.76117
21.15,9.75684
21.166667,9.75156
21.183333,9.74735
21.2,9.74574
21.216667,9.74556
21.233333,9.74619
21.25,9.7472
21.266667,9.7482
21.283333,9.74838
21.3,9.74904
21.316667,9.74976
21.333333,9.75019
21.35,9.75092
21.366667,9.75247
21.383333,9.75499
21.4,9.75789
21.416667,9.76069
21.433333,9.76335
21.45,9.76547
21.466667,9.76764
21.483333,9.76959
21.5,9.77123
21.516667,9.77258
21.533333,9.77378
21.55,9.7747
21.566667,9.77549
21.583333,9.77643
21.6,9.7775
21.616667,9.77855
21.633333,9.77916
21.65,9.77923
21.666667,9.77905
21.683333,9.77838
21.7,9.77759
21.716667,9.77684
21.733333,9.77618
21.75,9.77544
21.766667,9.77496
21.783333,9.77517
21.8,9.77528
21.816667,9.77493
21.833333,9.77433
21.85,9.77383
21.866667,9.77344
21.883333,9.77327
21.9,9.77348
21.916667,9.77391
21.933333,9.77461
21.95,9.77507
21.966667,9.77511
21.983333,9.77485
22,9.77436
22.016667,9.77475
22.033333,9.77556
22.05,9.77657
22.066667,9.77746
22.083333,9.77862
22.1,9.77879
22.116667,9.77886
22.133333,9.77904
22.15,9.77941
22.166667,9.78023
22.183333,9.7811
22.2,9.77996
22.216667,9.77809
22.233333,9.77565
22.25,9.77429
22.266667,9.77413
22.283333,9.77466
22.3,9.77584
22.316667,9.77734
22.333333,9.77797
22.35,9.77666
22.366667,9.77412
22.383333,9.77185
22.4,9.77099
22.416667,9.77221
22.433333,9.77462
22.45,9.77678
22.466667,9.77837
22.483333,9.77887
22.5,9.77899
22.516667,9.77835
22.533333,9.77853
22.55,9.77951
22.566667,9.78057
22.583333,9.78113
22.6,9.78083
22.616667,9.78
22.633333,9.77894
22.65,9.7781
22.666667,9.77739
22.683333,9.77676
22.7,9.77631
22.716667,9.77604
22.733333,9.7761
22.75,9.77699
22.766667,9.77849
22.783333,9.77995
22.8,9.78124
22.816667,9.78266
22.833333,9.78405
22.85,9.78541
22.866667,9.78711
22.883333,9.78934
22.9,9.79189
22.916667,9.79239
22.933333,9.79173
22.95,9.79087
22.966667,9.79114
22.983333,9.79225
23,9.79403
23.016667,9.79476
23.033333,9.79504
23.05,9.79514
23.066667,9.79472
23.083333,9.79328
23.1,9.79159
23.116667,9.7904
23.133333,9.78944
23.15,9.7885
23.166667,9.78769
23.183333,9.78735
23.2,9.78761
23.216667,9.78827
23.233333,9.78921
23.25,9.79022
23.266667,9.79081
