Calpeptin_400uM_in_S256A_24uM_28C_X,Calpeptin_400uM_in_S256A_24uM_28C_Y
21.416667,9.38943
21.433333,9.3902
21.45,9.3911
21.466667,9.39251
21.483333,9.39398
21.5,9.39536
21.516667,9.39649
21.533333,9.39756
21.55,9.39842
21.566667,9.39925
21.583333,9.39992
21.6,9.40054
21.616667,9.401
21.633333,9.40164
21.65,9.40211
21.666667,9.40227
21.683333,9.40212
21.7,9.40184
21.716667,9.40188
21.733333,9.40199
21.75,9.40212
21.766667,9.40238
21.783333,9.40223
21.8,9.40206
21.816667,9.40193
21.833333,9.40175
21.85,9.40144
21.866667,9.40101
21.883333,9.40056
21.9,9.40018
21.916667,9.39993
21.933333,9.4
21.95,9.40006
21.966667,9.40009
21.983333,9.40003
22,9.40024
22.016667,9.40046
22.033333,9.40074
22.05,9.40101
22.066667,9.40111
22.083333,9.40144
22.1,9.40196
22.116667,9.40206
22.133333,9.40225
22.15,9.40216
22.166667,9.40187
22.183333,9.40186
22.2,9.4019
22.216667,9.40209
22.233333,9.402
22.25,9.40169
22.266667,9.40128
22.283333,9.40106
22.3,9.40133
22.316667,9.40149
22.333333,9.40113
22.35,9.40092
22.366667,9.40053
22.383333,9.40029
22.4,9.40054
22.416667,9.40054
22.433333,9.40078
22.45,9.402
22.466667,9.40213
22.483333,9.40108
22.5,9.40023
22.516667,9.40082
22.533333,9.4005
22.55,9.39949
22.566667,9.39832
22.583333,9.39721
22.6,9.39641
22.616667,9.3957
22.633333,9.39487
22.65,9.39453
22.666667,9.39413
22.683333,9.39322
22.7,9.39289
22.716667,9.39225
22.733333,9.39178
22.75,9.39178
22.766667,9.39195
22.783333,9.39205
22.8,9.39265
22.816667,9.39324
22.833333,9.39346
22.85,9.39404
22.866667,9.39519
22.883333,9.39581
22.9,9.39626
22.916667,9.39799
22.933333,9.40018
22.95,9.40123
22.966667,9.40194
22.983333,9.40194
23,9.40215
23.016667,9.40243
23.033333,9.40274
23.05,9.4037
23.066667,9.40387
23.083333,9.40351
23.1,9.40336
23.116667,9.40319
23.133333,9.40298
23.15,9.40255
23.166667,9.40227
23.183333,9.40186
23.2,9.40168
23.216667,9.40202
23.233333,9.40207
23.25,9.4021
23.266667,9.40211
23.283333,9.40191
23.3,9.40158
23.316667,9.40119
23.333333,9.40131
23.35,9.40178
23.366667,9.40213
23.383333,9.40245
23.4,9.40271
23.416667,9.40315
23.433333,9.40357
23.45,9.4034
23.466667,9.40372
23.483333,9.40443
23.5,9.40523
23.516667,9.40509
23.533333,9.40543
23.55,9.40365
23.566667,9.39802
23.583333,9.39026
23.6,9.38206
23.616667,9.37854
23.633333,9.37944
23.65,9.37963
23.666667,9.3799
23.683333,9.38145
23.7,9.38283
23.716667,9.38381
23.733333,9.38484
23.75,9.38744
23.766667,9.39175
23.783333,9.39488
23.8,9.39857
23.816667,9.40244
23.833333,9.4057
