overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.615, 0.571,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.625, 0.610,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.649, 1.481,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.086, 1.029,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.827, 0.746,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.693, 0.593,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.620, 0.517,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.568, 0.500,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.540, 0.500,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.548, 0.534,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.459, 1.319,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.962, 0.915,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.733, 0.661,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.613, 0.525,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.548, 0.457,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.502, 0.442,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.476, 0.441,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.484, 0.472,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.299, 1.177,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.852, 0.814,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.649, 0.586,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.542, 0.466,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.483, 0.404,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.443, 0.390,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.419, 0.389,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.426, 0.416,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.169, 1.061,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.766, 0.730,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.580, 0.526,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.483, 0.416,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.431, 0.360,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.395, 0.348,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.373, 0.346,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.380, 0.370,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.083, 0.978,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.707, 0.671,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.535, 0.482,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
