overflow, 3.269, overflow, 2.609,     -,     -,     -,     -,     -,     -,     -,     -
2.775, 2.429, 2.530, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.340, 1.940, 2.107, 2.202,     -,     -,     -,     -,     -,     -,     -,     -
2.054, 1.713, 1.856, 2.039,     -,     -,     -,     -,     -,     -,     -,     -
1.870, 1.730, 1.794, 1.457,     -,     -,     -,     -,     -,     -,     -,     -
1.768, 1.652, 1.790, 2.260,     -,     -,     -,     -,     -,     -,     -,     -
1.801, 1.749, 1.863, 1.991,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.492, 3.156, overflow, 2.592,     -,     -,     -,     -,     -,     -,     -,     -
2.747, 2.405, 2.486, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.325, 1.948, 2.104, 2.182,     -,     -,     -,     -,     -,     -,     -,     -
2.058, 1.722, 1.860, 2.037,     -,     -,     -,     -,     -,     -,     -,     -
1.876, 1.742, 1.797, 1.451,     -,     -,     -,     -,     -,     -,     -,     -
1.785, 1.671, 1.798, 2.257,     -,     -,     -,     -,     -,     -,     -,     -
1.815, 1.768, 1.867, 1.999,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.350, 3.161, 3.207, 2.566,     -,     -,     -,     -,     -,     -,     -,     -
2.722, 2.421, 2.506, 3.309,     -,     -,     -,     -,     -,     -,     -,     -
2.299, 1.954, 2.107, 2.190,     -,     -,     -,     -,     -,     -,     -,     -
2.059, 1.731, 1.867, 2.034,     -,     -,     -,     -,     -,     -,     -,     -
1.888, 1.754, 1.798, 1.449,     -,     -,     -,     -,     -,     -,     -,     -
1.793, 1.676, 1.799, 2.257,     -,     -,     -,     -,     -,     -,     -,     -
1.832, 1.775, 1.873, 1.992,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.167, 3.361, 2.566,     -,     -,     -,     -,     -,     -,     -,     -
2.744, 2.425, 2.505, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.324, 1.959, 2.104, 2.187,     -,     -,     -,     -,     -,     -,     -,     -
2.067, 1.735, 1.872, 2.047,     -,     -,     -,     -,     -,     -,     -,     -
1.898, 1.763, 1.806, 1.447,     -,     -,     -,     -,     -,     -,     -,     -
1.812, 1.686, 1.806, 2.259,     -,     -,     -,     -,     -,     -,     -,     -
1.843, 1.786, 1.882, 2.007,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.386, 2.984, 3.201, 2.535,     -,     -,     -,     -,     -,     -,     -,     -
2.700, 2.402, 2.463, 3.356,     -,     -,     -,     -,     -,     -,     -,     -
2.302, 1.943, 2.087, 2.152,     -,     -,     -,     -,     -,     -,     -,     -
2.039, 1.728, 1.854, 2.018,     -,     -,     -,     -,     -,     -,     -,     -
1.890, 1.744, 1.798, 1.437,     -,     -,     -,     -,     -,     -,     -,     -
1.798, 1.675, 1.796, 2.234,     -,     -,     -,     -,     -,     -,     -,     -
1.833, 1.775, 1.874, 1.990,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.371, 3.025, 3.159, 2.521,     -,     -,     -,     -,     -,     -,     -,     -
2.691, 2.391, 2.430, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.263, 1.924, 2.073, 2.138,     -,     -,     -,     -,     -,     -,     -,     -
2.032, 1.708, 1.839, 2.005,     -,     -,     -,     -,     -,     -,     -,     -
1.869, 1.730, 1.778, 1.421,     -,     -,     -,     -,     -,     -,     -,     -
1.784, 1.663, 1.777, 2.244,     -,     -,     -,     -,     -,     -,     -,     -
1.817, 1.758, 1.855, 1.969,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
