Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.155	-0.1144846	0.155	-0.209955	0.155	-0.2031182	0.155	-0.172551	0.155	-0.1531272	0.155	-0.1419714	
0.156	-0.1143508	0.156	-0.2058493	0.156	-0.2020838	0.156	-0.1716615	0.156	-0.1524157	0.156	-0.1412506	
0.158	-0.1142077	0.158	-0.2012572	0.158	-0.2010883	0.157	-0.1713256	0.158	-0.1512972	0.158	-0.1415491	
0.159	-0.1134435	0.159	-0.1960403	0.159	-0.2007707	0.159	-0.170274	0.159	-0.1501863	0.159	-0.140828	
0.16	-0.1125256	0.16	-0.1909901	0.16	-0.1996831	0.16	-0.1697613	0.16	-0.1486943	0.16	-0.1391189	
0.162	-0.112131	0.162	-0.1859743	0.162	-0.1990187	0.161	-0.1690021	0.162	-0.1474409	0.162	-0.1378326	
0.163	-0.111903	0.163	-0.1820513	0.163	-0.1985158	0.163	-0.1681062	0.163	-0.1464437	0.163	-0.1371327	
0.164	-0.1121689	0.164	-0.177988	0.164	-0.1981078	0.164	-0.1674314	0.164	-0.1454795	0.164	-0.1363269	
0.166	-0.1120371	0.166	-0.175244	0.166	-0.1970567	0.165	-0.167089	0.166	-0.1442613	0.166	-0.1364036	
0.167	-0.1122442	0.167	-0.1723012	0.167	-0.1959621	0.167	-0.1666699	0.167	-0.14309	0.167	-0.1366014	
0.168	-0.1118597	0.168	-0.1680579	0.168	-0.1954031	0.168	-0.1659485	0.168	-0.142273	0.168	-0.1361711	
0.17	-0.1110328	0.169	-0.1649284	0.169	-0.195637	0.169	-0.1648589	0.17	-0.1410218	0.17	-0.1357683	
0.171	-0.1102162	0.171	-0.1622757	0.171	-0.1945702	0.171	-0.163672	0.171	-0.1390059	0.171	-0.1348586	
0.172	-0.109647	0.172	-0.1580802	0.172	-0.1938358	0.172	-0.1625682	0.172	-0.1376758	0.172	-0.1331176	
0.173	-0.1085824	0.173	-0.1552223	0.173	-0.1926531	0.173	-0.1607141	0.173	-0.1368207	0.174	-0.1311537	
0.175	-0.1069045	0.175	-0.1526758	0.175	-0.1917831	0.175	-0.1591066	0.175	-0.1356732	0.175	-0.1298103	
0.176	-0.1055368	0.176	-0.149263	0.176	-0.190443	0.176	-0.1577817	0.176	-0.1345688	0.176	-0.1294772	
0.177	-0.1036727	0.177	-0.1450613	0.177	-0.1886698	0.177	-0.1570309	0.177	-0.1336931	0.177	-0.1281303	
0.179	-0.1020718	0.179	-0.1411564	0.179	-0.1867599	0.179	-0.1566108	0.179	-0.1324472	0.179	-0.1263062	
0.18	-0.1005893	0.18	-0.1376409	0.18	-0.1860134	0.18	-0.1555357	0.18	-0.1311832	0.18	-0.1248545	
0.181	-0.09924046	0.181	-0.1345264	0.181	-0.1859154	0.181	-0.1539074	0.181	-0.1305759	0.181	-0.1231957	
0.183	-0.09825098	0.183	-0.1312841	0.183	-0.1852188	0.183	-0.1521034	0.183	-0.129473	0.183	-0.1215877	
0.184	-0.09723423	0.184	-0.1272109	0.184	-0.1839841	0.184	-0.1517148	0.184	-0.1283182	0.184	-0.1213537	
0.185	-0.09610187	0.185	-0.1234897	0.185	-0.1836569	0.185	-0.1510042	0.185	-0.1272942	0.185	-0.121182	
0.187	-0.09461422	0.187	-0.1201451	0.187	-0.1821266	0.187	-0.1496061	0.187	-0.1256413	0.187	-0.1201384	
0.188	-0.09405147	0.188	-0.1170328	0.188	-0.1809325	0.188	-0.1477845	0.188	-0.1236783	0.188	-0.1181066	
0.189	-0.09330816	0.189	-0.1137447	0.189	-0.179896	0.189	-0.1455948	0.189	-0.1219602	0.189	-0.116155	
0.191	-0.09156878	0.191	-0.1103442	0.191	-0.1781718	0.191	-0.1442517	0.191	-0.1197479	0.191	-0.1152387	
0.192	-0.0896606	0.192	-0.1064997	0.192	-0.1763313	0.192	-0.1426476	0.192	-0.1182519	0.192	-0.1151615	
0.193	-0.08728699	0.193	-0.1019947	0.193	-0.1747536	0.193	-0.1413405	0.193	-0.1178488	0.193	-0.1140129	
0.195	-0.08505554	0.195	-0.09740952	0.195	-0.173613	0.195	-0.1404175	0.195	-0.1170796	0.195	-0.1126392	
0.196	-0.08333611	0.196	-0.09321609	0.196	-0.1734896	0.196	-0.1391812	0.196	-0.1155168	0.196	-0.1112727	
0.197	-0.08211727	0.197	-0.08838089	0.197	-0.1731446	0.197	-0.1379667	0.197	-0.1143495	0.197	-0.1091396	
0.199	-0.08087224	0.199	-0.08356567	0.199	-0.1730062	0.199	-0.1365637	0.199	-0.1134996	0.199	-0.1070283	
0.2	-0.07879429	0.2	-0.07896331	0.2	-0.171703	0.2	-0.134495	0.2	-0.1126956	0.2	-0.10507	
0.201	-0.07693511	0.201	-0.0751045	0.201	-0.170642	0.201	-0.1328906	0.201	-0.1118898	0.201	-0.1033951	
0.203	-0.07610693	0.203	-0.07181966	0.203	-0.1703768	0.203	-0.1315664	0.203	-0.1102215	0.203	-0.1023881	
0.204	-0.0743803	0.204	-0.06847554	0.204	-0.1695926	0.204	-0.1298972	0.204	-0.1081209	0.204	-0.1012468	
0.205	-0.07263535	0.205	-0.06486924	0.205	-0.1692477	0.205	-0.1271502	0.205	-0.1068629	0.205	-0.09979235	
0.207	-0.07155757	0.207	-0.06147394	0.207	-0.1687166	0.207	-0.125933	0.207	-0.1065333	0.207	-0.09882945	
0.208	-0.06989073	0.208	-0.05825449	0.208	-0.1674936	0.208	-0.1254301	0.208	-0.1058037	0.208	-0.09817836	
0.209	-0.06820111	0.209	-0.05471597	0.209	-0.166997	0.209	-0.1248522	0.209	-0.1048146	0.209	-0.09702646	
0.211	-0.06687964	0.211	-0.05097544	0.211	-0.166789	0.211	-0.123413	0.211	-0.103977	0.211	-0.09491477	
0.212	-0.06520756	0.212	-0.04646053	0.212	-0.1658869	0.212	-0.1222612	0.212	-0.1031406	0.212	-0.09314997	
